slide_id,rank_handled,world_size,n_tiles,t_start_s,t_end_s,wallclock_s,tiles_per_sec_slide,embedding_dim
TCGA-3C-AALI-01Z-00-DX1.F6E9A5DF-D8FB-45CF-B4BD-C6B76294C291,0,4,14193,0.101987,50.289912,50.188,282.8,1536
TCGA-3C-AALI-01Z-00-DX2.CF4496E0-AB52-4F3E-BDF5-C34833B91B7C,1,4,20438,0.142482,72.123868,71.981,283.9,1536
TCGA-3C-AALJ-01Z-00-DX1.777C0957-255A-42F0-9EEB-A3606BCF0C96,2,4,22521,0.165732,80.670033,80.504,279.7,1536
TCGA-3C-AALJ-01Z-00-DX2.62DFE56B-B84C-40F9-9625-FCB55767B70D,3,4,17930,0.121607,61.953101,61.831,290.0,1536
TCGA-3C-AALK-01Z-00-DX1.4E6EB156-BB19-410F-878F-FC0EA7BD0B53,0,4,13701,50.485815,99.210093,48.724,281.2,1536
TCGA-4H-AAAK-01Z-00-DX1.ABF1B042-1970-4E28-8671-43AAD393D2F9,0,4,9711,0.076426,34.532579,34.456,281.8,1536
TCGA-5L-AAT0-01Z-00-DX1.5E171263-30BF-4C6B-88A1-E8EA0522A861,1,4,3359,0.035167,12.027142,11.992,280.1,1536
TCGA-5L-AAT1-01Z-00-DX1.F3449A5B-2AC4-4ED7-BF44-4C8946CDB47D,2,4,3847,0.038085,14.010699,13.973,275.3,1536
TCGA-5T-A9QA-01Z-00-DX1.B4212117-E0A7-4EF2-B324-8396042ACEC1,3,4,23415,0.159545,84.067078,83.908,279.1,1536
TCGA-A1-A0SB-01Z-00-DX1.B34C267B-CAAA-4AB6-AD5C-276C26F997A1,0,4,7320,34.660771,60.630777,25.970,281.9,1536
